Id,Year,New Or Old,Name,Address,Production Origin,Color,Fuel,Car Gearbox,Used (kilomet),Price
4837877,2017,Xe cũ,"Mazda 3 1.5 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,62000,475 Triệu
3878146,2022,Xe mới,"Kia Seltos Premium 1.4 AT",Quảng Ninh,Xe lắp ráp trong nước,màu cam,"máy xăng 1.4 L",số tự động,0,751 Triệu
4832081,2022,Xe cũ,"VinFast VF8 Plus",Hà Nội,Xe lắp ráp trong nước,màu xanh,"xe điện",số tự động,6000,918 Triệu
4840350,2009,Xe cũ,"Toyota Innova At",Hà Nội,Xe nhập khẩu,màu kem,"máy xăng",số tự động,83000,318 Triệu
4840357,2018,Xe cũ,"Ford EcoSport 1.5 AT Titanium",Hà Nội,Xe lắp ráp trong nước,màu bạc,"máy xăng",số tự động,48000,493 Triệu
4666255,2016,Xe cũ,"Toyota Yaris 1.3G",Lâm Đồng,Xe nhập khẩu,màu trắng,"máy xăng 1.3 L",số tự động,99000,447 Triệu
4810250,2021,Xe cũ,"Porsche Cayenne S",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 2.9 L",số tự động,19000,5 Tỷ 750 Triệu
4840334,2016,Xe cũ,"Hyundai i10 Mt ko dv quá đe",Hà Nội,Xe nhập khẩu,màu bạc,"máy xăng",số tay,8688,245 Triệu
4826347,2018,Xe cũ,"Mazda 6 2.0L",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,65000,660 Triệu
4814645,2016,Xe cũ,"Hyundai SantaFe 2.2L",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy dầu 2.2 L",số tự động,90000,765 Triệu
4639962,2018,Xe cũ,"Hyundai Accent 1.4 ATH",Thái Nguyên,Xe lắp ráp trong nước,màu nâu,"máy xăng 1.4 L",số tự động,54000,465 Triệu
3731970,2022,Xe mới,"Mercedes Benz E class E200 Exclusive",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,0,2 Tỷ 470 Triệu
4824774,2018,Xe cũ,"Hyundai Tucson 2.0 ATH",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,62000,685 Triệu
4593662,2016,Xe cũ,"Ford Ranger XLS 2.2L 4x2 MT",Hà Nội,Xe nhập khẩu,màu xanh,"máy dầu 2.2 L",số tay,68500,486 Triệu
4820846,2013,Xe cũ,"Toyota Fortuner 2.5G",Hà Nội,Xe lắp ráp trong nước,màu bạc,"máy dầu 2.5 L",số tay,121000,575 Triệu
4821274,2016,Xe cũ,"Kia K3 1.6 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.6 L",số tự động,68300,455 Triệu
4730430,2021,Xe cũ,"Mercedes Benz G class G63 AMG",TP HCM,Xe nhập khẩu,màu trắng,"máy xăng 4.0 L",số tự động,28000,11 Tỷ 900 Triệu
4840345,2016,Xe cũ,"Mazda 3 1.5 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng",số tự động,50000,479 Triệu
4704345,2022,Xe cũ,"Porsche 911 Carrera GTS",TP HCM,Xe nhập khẩu,màu đen,"máy xăng",số tự động,1972,12 Tỷ 600 Triệu
4746933,2021,Xe mới,"Ferrari F8 Spyder",TP HCM,Xe nhập khẩu,màu vàng,"máy xăng 3.9 L",số tự động,0,28 Tỷ 500 Triệu
4712307,2022,Xe mới,"Lexus LX 600",TP HCM,Xe nhập khẩu,màu đen,"máy xăng 3.4 L",số tự động,0,8 Tỷ 100 Triệu
4716420,2019,Xe cũ,"Honda City 1.5TOP",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,40000,479 Triệu
